            =================================================================
                             Relaxing the nuclear positions:                   
            =================================================================
  
  ITER           E [au]                        DE [au]                     <|F|> [au]                      DR [au]
  74   -0.76428515462271889191E+02   -0.14655697100351972040E-07    0.23341032756134093402E-05    0.33761975573032287912E-05
  75   -0.76428515475458567607E+02   -0.13186678415877395310E-07    0.20058439826883726770E-05    0.30360082463598558888E-05
  76   -0.76428515487314541588E+02   -0.11855973980345879681E-07    0.17108299584524945633E-05    0.27302003735574231769E-05
  77   -0.76428515497970067827E+02   -0.10655526239133905619E-07    0.14457218912760263143E-05    0.24553198454402291873E-05
  78   -0.76428515507545498053E+02   -0.95754302265049773268E-08    0.12075236050081633365E-05    0.22082560593439382046E-05
  79   -0.76428515516150056897E+02   -0.86045588432170916349E-08    0.99355995397374738133E-06    0.19862112412560861685E-05
  
                 The nuclear positions have been relaxed with respect
                 to the interatomic forces. An force convergence of 
                      F  <  0.10000E-05 [au] has been obtained.
  
                The relaxed positions of the nuclea are the following:
  
  ATOM           Rx [au]                       Ry [au]                       Rz [au]
   1    0.45901531531416306375E+00    0.17671484292313428544E+01    0.30308242231470337297E-08
   2    0.11318334656404055449E-01   -0.14640746763363392952E-01   -0.44707926094701890292E-08
   3   -0.18257849035705671081E+01   -0.12868127679795775264E-02    0.14399683863231573675E-08
Application 1419870 exit signals: Killed
Application 1419870 resources: utime ~24435s, stime ~44s
